idpregunta,category,value,question,choice_a,choice_b,choice_c,choice_d,answer,Unnamed: 9
420,Planeamiento Operacional Conjunto,500,"Esta actividad del desarrollo del enfoque operacional conlleva analizar las CVs estratégicas y operacionales del personal adversario y las propias, para posteriormente determinar en consenso del Estado Mayor Conjunto, las acciones necesarias para explotar las CVs del adversario y proteger las propias.",Identificar y analizar los Centros de Gravedad (Estratégico y operacional) del Enemigo (ECOGs) y los Centros de Gravedad (COGs) estratégico y operacional propios.,"Determinar, enumerar y agrupar los DPs/DCs.",Desarrollar el enfoque operacional.,Iniciación.,B,
423,Planeamiento Operacional Conjunto,100,"Este paso del proceso de planeamiento operacional permite a la o el JFC y al JS, comprender el problema al que se enfrente al iniciar el proceso, el cual involucra la elaboración de la JIPOE y el desarrollo del Diseño Operacional.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,A,
421,Planeamiento Operacional Conjunto,100,"En este nivel, los objetivos estratégicos son convertidos por los mandos operacionales en objetivos operacionales.",Estratégico.,Operacional.,Táctico.,Conjunto.,B,
422,Planeamiento Operacional Conjunto,100,"En este nivel, se dan tareas a las unidades tácticas, lo cual permitirá alcanzar los objetivos operacionales.",Estratégico.,Operacional.,Táctico.,Conjunto.,C,
424,Planeamiento Operacional Conjunto,100,"En este paso del proceso de planeamiento operacional, los insumos del escalón superior pueden venir como una directiva, un Plan de Operaciones/Orden de Operaciones (OPLAN/OPORD) o cualquier otro documento que tenga las instrucciones básicas del escalón superior.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,A,
428,Planeamiento Operacional Conjunto,200,"Como resultado de este paso del proceso de planeamiento operacional, tendremos a la o el Comandante de la Fuerza Conjunta (JFC) y su Estado Mayor Conjunto (JS) totalmente orientados respecto a lo que se van a enfrentar; así como, el resultado final del desarrollo del Diseño Operacional que es el enfoque operacional.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,A,
425,Planeamiento Operacional Conjunto,200,"En este paso del proceso de planeamiento operacional, la o el JFC una vez recibido el insumo de su escalón superior, basado en su experiencia, conocimiento, creatividad e intuición, da al JS su intención inicial y su guía de planificación, que servirán de insumos para iniciar el OPP.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,A,
426,Planeamiento Operacional Conjunto,200,"Esta actividad está usualmente a cargo del personal de inteligencia, el cual se enfoca a recopilar toda la información disponible mediante la aplicación del ciclo de inteligencia y lo plasma en un documento.",Elaboración de la IPB.,Elaboración de los requerimientos de inteligencia prioritarios.,Elaboración de la JIPOE.,Elaboración de los requerimientos de información.,C,
427,Planeamiento Operacional Conjunto,200,"Éste involucra tres actividades principales o etapas que son entender el entorno operacional, delimitar el problema y desarrollar el enfoque operacional.",Comprensión del OE.,Delimitación del problema.,Desarrollo del diseño operacional.,Desarrollo del enfoque operacional.,C,
431,Planeamiento Operacional Conjunto,300,"El proceso de este paso del proceso de planeamiento operacional, involucra analizar los insumos, entender la guía e intención inicial de la o el Comandante, analizar la misión e intención del escalón superior, determinar el propósito de la operación y analizar las tareas especificadas y determinar las tareas implícitas y esenciales.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,B,
430,Planeamiento Operacional Conjunto,300,"En este paso del proceso de planeamiento operacional, la JIPOE y los productos de Diseño Operacional, constituyen unos insumos muy importantes para guiar al JS. Las estimaciones de cada una de las secciones en su respectiva área funcional, comienzan a tomar forma aquí.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,B,
432,Planeamiento Operacional Conjunto,300,"Son todas aquellas tareas que una o un Comandante Superior asigna a quien se desempeñe como mando subordinado mediante una Orden de Operaciones (OPORD), Plan de Operaciones (OPLAN) u Orden Preparatoria [Warning Order (WARNORD)], u otra directiva de Planeamiento.",Tareas básicas.,Tareas esenciales.,Tareas implícitas.,Tareas especificadas.,D,
429,Planeamiento Operacional Conjunto,300,"Este paso del proceso de planeamiento operacional es recomendable hacerlo una vez que se tiene un panorama amplio de la situación y que se obtuvo la Información de Inteligencia, la JIPOE; así como, el Diseño Operacional.",Iniciación.,Análisis de la misión.,Desarrollo de los COAs.,Análisis de los COAs.,B,
434,Planeamiento Operacional Conjunto,400,Son aquellas que la fuerza conjunta deberá ejecutar satisfactoriamente para alcanzar el Estado Final Deseado.,Tareas básicas.,Tareas esenciales.,Tareas implícitas.,Tareas especificadas.,B,
435,Planeamiento Operacional Conjunto,400,"Son acciones impuestas o prohibidas por el escalón superior o establecidas en otros ordenamientos como leyes o acuerdos nacionales o internacionales, condiciones políticas, sociales, religiosas o culturales dentro del área operacional asignada a la fuerza conjunta, que limita la libertad de acción de la o el JFC.",Reglas de enfrentamiento.,Limitaciones operacionales.,Imposiciones u obligatoriedades.,Restricciones.,B,
433,Planeamiento Operacional Conjunto,400,"Son aquellas tareas adicionales y deducidas por la o el JFC, las cuales tiene que ejecutar para cumplir con una tarea explícita o esencial.",Tareas básicas.,Tareas esenciales.,Tareas implícitas.,Tareas especificadas.,C,
436,Planeamiento Operacional Conjunto,400,"Es una acción específica a ser observada durante el cumplimiento de la misión, es decir, son obligaciones.",Reglas de enfrentamiento.,Limitaciones operacionales.,Imposiciones u obligatoriedades.,Restricciones.,C,
438,Planeamiento Operacional Conjunto,500,Nivel de riesgo de obstáculos y amenazas que representa grandes pérdidas de fuerza y habilidad de cumplir la misión.,Bajo.,Moderado.,Alto.,Extremadamente alto.,D,
439,Planeamiento Operacional Conjunto,500,Nivel de riesgo de obstáculos y amenazas que representa pérdidas considerables en la fuerza y en las capacidades para cumplir la misión con base en los estándares establecidos.,Bajo.,Moderado.,Alto.,Extremadamente alto.,C,
437,Planeamiento Operacional Conjunto,500,Es una acción prohibida durante el cumplimiento de una misión.,Reglas de enfrentamiento.,Limitaciones operacionales.,Imposiciones u obligatoriedades.,Restricciones.,D,
446,Estado Mayor ,100,¿Se apoya en cada una de las actividades del ciclo de la información?,   La IPB,   La JIPOE, Sistema PMESII,GEOINT,b,
443,Estado Mayor ,100,¿Qué aspectos del entorno se analizan en la JIPOE?,Solo los aspectos políticos y sociales.,"Los ámbitos físicos (tierra, mar, aire y ciberespacio).",Solo el ámbito cibernético.,Solo los aspectos económicos.,b,
440,Estado Mayor ,100,"	¿Qué es la Preparación de Inteligencia Conjunta del Entorno (JIPOE)?",Un proceso de ejecución de operaciones., Un proceso en el que se analiza al adversario y el entorno operacional., Un proceso de comunicación con los aliados., Un proceso de análisis de información de inteligencia.,d,
441,Estado Mayor ,100,Es el proceso en el cual se analiza al adversario y otros aspectos relevantes del Entorno Operacional.,Preparación de Inteligencia del Entorno Operacional. (IPOE),Preparación de Inteligencia Conjunta del Entorno Operacional. (PICEO),   Proceso de Inteligencia Conjunta del Entorno Operacional. (PICEO),Proceso de Inteligencia del Espacio de Batalla. (PIEB),b,
442,Estado Mayor ,100,¿Cuál es el objetivo principal de la JIPOE?,Identificar los posibles cursos de acción enemigos (ECOAs)., Analizar solo el entorno físico., Establecer estrategias de defensa.,Mejorar la comunicación entre fuerzas aliadas.,d,
444,Estado Mayor ,100,¿Qué significa el acrónimo PMESII?,"Político, Militar, Energético, Social, Internacional, Infraestructura.","Político, Militar, Económico, Social, Información, Infraestructura.","Planeamiento Militar, Estrategia, Información, Infraestructura","Político, Militar, Económico, Internacional, Infraestructura.",b,
447,Estado Mayor ,100, ¿Qué se tomará como base cuando la o el Comandante de la Fuerza Conjunta (JFC) designe a personal especifico para elaborar la JIPOE de la Fuerza Conjunta? ,   La IPB,La Estimación de Inteligencia,La información del escalón superior,   El Sistema PMESII,c,
445,Estado Mayor ,100,¿Qué tipo de inteligencia se obtiene mediante la JIPOE?,Inteligencia táctica limitada.,Inteligencia sobre los recursos naturales del enemigo.,Inteligencia de gran valor para la ejecución y evaluación de operaciones., Inteligencia de apoyo a la logística militar.,c,
448,Estado Mayor ,200,¿Cuáles son las otras personas representantes que serán dirigidos por la o el Jefe de la Sección Segunda para elaborar la JIPOE de la Fuerza Conjunta?,"Personal de inteligencia, de comunicaciones y apoyos por el fuego.",  Personal especializado. ,Personal de Contrainteligencia. ,   La persona analista. ,a,
455,Estado Mayor ,200,Todo Planificador necesita una familiarización básica en el Proceso de la JIPOE a fin de convertirse.,  En una persona experta.,Usuaria experta.,    Usuario crítico.,    Persona critica.,C,
449,Estado Mayor ,200,¿Qué se conduce paralelamente con algunos pasos en la JIPOE y requieren del insumo de otras personas integrantes del grupo del Planeamiento para una discusión más detallada de este proceso?,  El análisis de la misión. , La intención del comandante. ,     El entorno de la información. , La estimación de inteligencia. ,a,
453,Estado Mayor ,200," Es inducir a la o el oficial de E.M. planificador hacia un aspecto critico del proceso de planeamiento que está en práctica, a través del planeamiento y ejecución de una operación.",      El propósito.,    Usuario critico, La intención.,   El objeto.,c,
452,Estado Mayor ,200, Hacer la preparación de Inteligencia Conjunta del Entorno Operacional no es hacer a la persona usuaria una experta en la JIPOE.,La intención.,   El propósito.,    Usuario crítico.,    Usuario experto.,b,
450,Estado Mayor ,200,   El Proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional. Seleccione usted el tercer paso básico de la JIPOE. ,Evaluar el impacto del Entorno Operacional (OE),Evaluar al Adversario. ,   Evaluar a las fuerzas enemigas. ,Definir el EO.,b,
451,Estado Mayor ,200,"  Normalmente designa personal específico para elaborar la JIPOE de la Fuerza Conjunta, se toma como base información del escalón superior.",  La o él cmte Fza. Conjunta.,      El cmte de T.O.,       El escalón Superior.,   Jefe de la S-2.,a,
454,Estado Mayor ,200,Necesita una familiarización básica con el proceso de la JIPOE a fin de convertirse a una o un usuario critico de los productos generados por la comunidad de Inteligencia.,      El JFC.,    El Jefe S-2.,       El JS.,   Todo Planificador.,d,
461,Estado Mayor ,300,  Es la persona responsable de coordinar y supervisar la elaboración de la JIPOE ,  Titular de la sección segunda (J-2).,    Comandante., J-3.,    Subjefe de Estado Mayor.,a,
460,Estado Mayor ,300,"  Es el área geográfica adyacente donde eventos políticos, militares, económicos u otros tienen un efecto dentro de un determinado teatro.",   Áreas de Operaciones.,   Área Crítica., El Área de Interés (AOI),    Persona critica.,c,
463,Estado Mayor ,300,Extendido por la atmosfera hasta una altitud donde las condiciones ya no pueden llevarse a cabo.,    Espacial.,    Ciberespacial.,    Aéreo-espacial. ,   Aéreo.,d,
456,Estado Mayor ,300,Se conducen paralelamente con el análisis de la misión y requieren del insumo de otras personas integrantes del grupo de Planeamiento., Pasos de la JIPOE., El Cmte. de T.O.,Operaciones Geoespaciales.,    Jefe de la S-2.,a,
459,Estado Mayor ,300,Se define en latitud y longitud o se presenta en un mapa/carta para claridad y referencia.,    Entorno Operacional., Área de interés., Un Área de Operaciones (AO),      Planificador.,c,
458,Estado Mayor ,300, Es el área total del Teatro o de la Fuerza de Tarea Conjunta (JTF) como un todo.,    El Área de Interés.,    Usuario crítico.,    El Área Operacional (OA).,   El objeto.,c,
457,Estado Mayor ,300,Es un sondeo inicial de las dimensiones geográficas y no geográficas del entorno operacional.,  Definir el Entorno Operacional.,   Evaluar al adversario., Definir el Área Operacional., Usuario experto.,a,
462,Estado Mayor ,300," Es el de proporcionar inteligencia que ayude a la o el JFC a determinar la intención del adversario, el ECOA más probable de adopción y el ECOA más peligroso. ", Propósito.,     Objetivo.,      Principal objetivo.,      Definición.,c,
465,Estado Mayor ,400," Del manual de planeamiento operacional conjunto de las FF. AA., Cap. II. Fig. 18 menciona cuales son las dimensiones que se describen en citada figura:"," Física, Humana y Informacional.","   Información, Cognitivo y Espacial.","    Terrestre, Aire, Espacial y Ciberespacial. ","Física, Humana y Informático",a,
471,Estado Mayor ,400," El propósito de este paso es determinar cómo el entorno operacional afecta a las operaciones, tanto amigas como del personal adversario.","Step one, Define the OE.             "," Step Three, Evaluate the Adversary."," Step Four, Determine Enemy Courses of Action.","Step two, Describe the impact of the EMB.",d,
467,Estado Mayor ,400,"A menudo este factor es analizado en términos de cinco consideraciones; Condiciones Meteorológicas y Oceanográficas, AICOPE, MCOO, SAHTS y consideraciones Cívico culturales.",    Factor ambiental.,      Factor tiempo.,  Factor humano., Factor espacio.,d,
464,Estado Mayor ,400,Área superior a la atmosfera donde sus efectos son tangibles se considera superior a los 100 km. de altitud.,   Espacial.,  Ciberespacial.,     Aéreo-espacial. ,     Aéreo.,a,
470,Estado Mayor ,400,Mediante este proceso se contesta el “entonces qué” de las consideraciones del espacio y tiempo; así como ¿Qué impacto tendrá la interacción del espacio y tiempo sobre las opciones amigas y del adversario?,Determine the effects of the operating environment on both one's own and adversary's capabilities and courses of action.     ,Time factor,Space factor. ,  Human factor.,a,
466,Estado Mayor ,400,Éste paso comienza con la identificación de las características ambientales militarmente significantes de cada dimensión del entorno operacional.,"      Paso uno, Definir el OE.","    Paso dos, Describir el impacto del OE.","       Paso Tres, Evaluar al adversario."," Paso Cuatro, Determinar los Cursos de Acción Enemigos.",b,
469,Estado Mayor ,400,"Conlleva el entorno físico de tierra, mar, espacio aéreo (incluyendo el espacio exterior), clima y condiciones meteorológicas, que influencian el empleo de las fuerzas de tierra, mar y aire.",Environmental factor,Time factor,Space factor,Human factor.,c,
468,Estado Mayor ,400,"Este elemento debe estudiarse para las fuerzas amigas y el adversario, con base en la sucesión de hechos que se establecerán durante el Planeamiento, preparación, ejecución de las operaciones.",     Factor humano.,    Factor tiempo.,    Factor ambiental,    Factor espacio.,b,
479,Estado Mayor ,500,"Es aquel donde todos los indicios, de acuerdo a la inteligencia que se tiene, la doctrina y las capacidades del adversario reflejan que es lo que hará.",The most dangerous.        , The most likely., The closest., The closest.,b,
475,Estado Mayor ,500,"Se estipula que este paso consiste en identificar y evaluar a las fuerzas del adversario, sus limitaciones, doctrina, tácticas, técnicas y procedimientos.","Step 3, evaluate the adversary.    ","Step 4, determine the COAs.","Step 4, determine the ECOAs"," Step 1, analyze the enemy.",a,
477,Estado Mayor ,500,"Mencione el paso en el cual se estipula que el analista desarrolla que muestren cómo el adversario opera normalmente, e identifica capacidades a modo de determinar que ECOAs podría adoptar.","Step 3, evaluate the adversary.   ","Step 4, determine the COAs.","Step 4, determine the ECOAs","Step 1, analyze the enemy.",a,
474,Estado Mayor ,500,"Paso No. 4 “Determinar los ECOAs”, no se puede determinar un ECOA basado solamente en el conocimiento de las capacidades del adversario; sino que es necesario determinar cuál es su objetivo y si es posible su...",Mission ,Purpose, Intention ,Combative Power,a,
476,Estado Mayor ,500,"El Proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional y al paso 3 “Evaluar al adversario”, el analista debe preguntarse:",What does the adversary have?        ,Can the adversary do it?    , Does this achieve its objective?,"If it succeeds, does it affect the fulfillment of our mission?",a,
478,Estado Mayor ,500,"Ningún ___________debe desecharse o pasarse por alto, a menos que sea imposible de llevarse a cabo.", ECOA,      COA,            COG,   ECOG,a,
473,Estado Mayor ,500,"  El Proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional y al Paso No. 4 “Determinar los ECOAs”, para desarrollar un ECOA, el planificador debe preguntarse:",What does the adversary have?         ,Where does it have it?   , And what has you doing in this period of time?  ,Can the adversary do it?,d,
472,Estado Mayor ,500, Indique cual es el significado del acrónimo DRARR. ,"Defend, Retreat, Attack, Reinforce and Delay.        "," Defend, Retreat, Attack, Reinforce and Delay.","  Defend, Retreat, Attack, Reinforce and Retreat. ","Defend, Delay, Attack, Reinforce and Retreat",a,
481,Estado Mayor ,100,"Deben de ser desarrollados a detalle por el planificador, a fin de que durante el desarrollo de los COAs propios, se tome en cuenta cada detalle.","The closest ECOA, as the most dangerous.                  "," The closest COA, as the most dangerous.","The most likely ECOA, as the most dangerous.    ","The closest COA, as the most likely",c,
480,Estado Mayor ,100,"Es aquel que, aunque su probabilidad sea la más baja, pone en peligro nuestra misión.",The most dangerous.           , The most likely. ,  The closest.    , The closest.,a,
482,Estado Mayor ,200,Este paso de la JIPOE esta diseñado para producir como mínimo dos ECOAs.,Step one.                  , Step two. ,  Step three., Step four.,d,
483,Estado Mayor ,200,"De conformidad con el Manual de Planeamiento Operacional Conjunto, es conveniente hacerlo tanto en narrativa como gráfico, empleando la simbología apropiada.",At the time of developing an ECOA ,At the time of carrying out the ECOG, In the offensive operation ,In the defensive operation.,a,
485,Estado Mayor ,300,"  Es aquel que, aunque su probabilidad sea la más baja, pone en peligro nuestra misión La intención.",El más Peligroso.,  El más Probable., DRARR.,el mas proximo,a,
484,Estado Mayor ,300,"  Es aquel donde todos los indicios, de acuerdo a la inteligencia que se tiene, la doctrina y las capacidades del adversario, reflejan que es lo que hará. ",The most likely , The most dangerous.  ,The Closest.   ,  DRARR,a,
486,Estado Mayor ,400,"El Proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional, tanto el ECOA más probable, como el más peligroso, deben ser desarrollados a detalle por ____________, a fin de que durante el desarrollo de los COAs propios, se tome en cuenta cada detalle.",The Planner.      ,J-2 of the JF., The J-3 of the JF,The Commander.,a,
487,Estado Mayor ,400,"El Proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional, está diseñado para producir como mínimo ____________, siendo el más probable el escenario mejor estimado, mientras que el peor escenario sería el más peligroso.", La PICEO,Assess the adversary and other relevant actors.   ,Determination of the ECOG.  ,The Final Step of the JIPOE,d,
488,Estado Mayor ,500,"El proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional, al momento de desarrollar un ECOA, el planificador puede comenzar describiendo ___________________________, y después como serán empleados sus componentes para lograr su objetivo o propósito. convertirse.",The adversary's order of battle.   ,Critical Capabilities (CC).,The Organization and Disposition of the Adversary,The Critical Requirements (CR).,c,
489,Estado Mayor ,500,"El proceso de la Preparación de Inteligencia Conjunta del Entorno Operacional, Este paso final de la JIPOE está diseñado para producir como mínimo ______________________, siendo el más probable el escenario mejor estimado, mientras que el peor escenario sería el más peligroso.",Determine the ECOG.          ,Describe the impact of the EMB.  ," Determine the COG, ECOG, CCs and CVs.",Two ECOAs.,d,
551,Cultura General,100,"¿ De conformidad al P.S.O. de H.A.S., cuál de los siguientes NO es un requisito para ser Persona Consejera?",Buena conducta,Ser asesor jurídico del organismo,Título de licenciatura,Capacitación en género,b,
556,Cultura General,200,¿De conformidad al P.S.O. de H.A.S. qué jerarquía mínima debe tener una Persona Consejera?,Tropa,Suboficial,Oficial o Jefe,General,c,
566,Cultura General,300,¿Qué países serán los anfitriones del Mundial de Fútbol 2026?,"México, Estados Unidos y Canadá","México, Brasil y Canadá","México, Argentina y Canadá","México, Estados Unidos y Chile",a,
572,Cultura General,400,How many access gates does the Azteca Stadium have?,11,12,13,17,a,
574,Cultura General,500,What is the main purpose of the P.S.O. of H.A.S.?,To regulate criminal sanctions only,To handle external civilian complaints,To prevent and address sexual harassment and sexual harassment with a gender perspective,To establish general administrative guidelines,c,
